题号,难度,试玩者,日期,完成用时(分钟),是否独立完成,卡点,规则歧义,趣味评分(1-5),建议难度,备注
TSH-01,初级 Beginner,,,,,,,,,
TSH-01,初级 Beginner,,,,,,,,,
TSH-02,初级 Beginner,,,,,,,,,
TSH-02,初级 Beginner,,,,,,,,,
TSH-03,初级 Beginner,,,,,,,,,
TSH-03,初级 Beginner,,,,,,,,,
TSH-04,初级 Beginner,,,,,,,,,
TSH-04,初级 Beginner,,,,,,,,,
TSH-05,初级 Beginner,,,,,,,,,
TSH-05,初级 Beginner,,,,,,,,,
TSH-06,初级 Beginner,,,,,,,,,
TSH-06,初级 Beginner,,,,,,,,,
TSH-07,初级 Beginner,,,,,,,,,
TSH-07,初级 Beginner,,,,,,,,,
TSH-08,初级 Beginner,,,,,,,,,
TSH-08,初级 Beginner,,,,,,,,,
TSH-09,中级 Medium,,,,,,,,,
TSH-09,中级 Medium,,,,,,,,,
TSH-10,中级 Medium,,,,,,,,,
TSH-10,中级 Medium,,,,,,,,,
TSH-11,中级 Medium,,,,,,,,,
TSH-11,中级 Medium,,,,,,,,,
TSH-12,中级 Medium,,,,,,,,,
TSH-12,中级 Medium,,,,,,,,,
TSH-13,高级 Difficult,,,,,,,,,
TSH-13,高级 Difficult,,,,,,,,,
TSH-14,高级 Difficult,,,,,,,,,
TSH-14,高级 Difficult,,,,,,,,,
TSH-15,高级 Difficult,,,,,,,,,
TSH-15,高级 Difficult,,,,,,,,,
TSH-16,高级 Difficult,,,,,,,,,
TSH-16,高级 Difficult,,,,,,,,,
TSH-17,专家 Expert,,,,,,,,,
TSH-17,专家 Expert,,,,,,,,,
TSH-18,专家 Expert,,,,,,,,,
TSH-18,专家 Expert,,,,,,,,,
TSH-19,专家 Expert,,,,,,,,,
TSH-19,专家 Expert,,,,,,,,,
TSH-20,专家 Expert,,,,,,,,,
TSH-20,专家 Expert,,,,,,,,,
